# ra                   dec                  source_id            l                    b                     parallax             parallax_error         pmra                    pmra_error             pmdec                 pmdec_error            ra_dec_corr    ra_parallax_corr   ra_pmra_corr    ra_pmdec_corr   dec_parallax_corr   dec_pmra_corr   dec_pmdec_corr   parallax_pmra_corr   parallax_pmdec_corr   pmra_pmdec_corr   phot_g_n_obs   phot_g_mean_mag   g           bp_rp          proba  
  39.7559703909768     42.64249364364091    340071941382417664   143.18141941112756   -15.959542513232533   2.1998375881582986   0.2248248821631915     0.4926958676584756      0.26201624890030045    -6.079885500061966    0.28083837848943577    -0.36610797    0.70755416         -0.15598534     0.19828856      -0.43080577         0.18433118      0.28124043       -0.02505924          0.17009863            0.055954948       128            17.862793         17.862793   2.3302364      0.9    
  40.128717586007795   42.959368571527186   340173263953392128   143.30055993875484   -15.556976855348134   1.827998727351978    0.2538832517515547     0.7753001320141633      0.4667402079421621     -5.522460147845339    0.3632956120763049     -0.6446323     0.58549935         -0.6412591      0.47935537      -0.50351816         0.60591704      -0.24980968      -0.18933415          0.09524441            -0.25753197       125            17.88102          17.88102    2.4008026      0.9    
  38.94823573760468    42.291709537463916   340093381859075456   142.76743668540823   -16.525310292735025   1.8905627252759152   0.054379918279068365   0.8630433207746722      0.06648390280095393    -5.842384641155579    0.0636817964592885     -0.28208867    0.669816           -0.29759        0.18414529      -0.43088105         0.14066222      -0.06271174      0.057524275          0.15169542            0.24358602        121            14.193507         14.193507   1.0571232      1.0    
  39.711554955674565   42.480476715293555   340064137424641536   143.22107365433297   -16.12037565448085    2.1527399685295885   0.13293212893961134    1.1335672283939446      0.1956687749317315     -5.491651861058736    0.17213510975157081    -0.41233638    0.65394187         0.10602323      0.07003836      -0.41523874         -0.019515429    0.3267808        -0.01348277          0.16851112            -0.13444614       131            16.948668         16.948668   2.0456705      0.9    
  39.49403226215786    42.886741809061256   340136709489197184   142.8938410476539    -15.817648226867298   2.1044791674732237   0.06634134245129919    0.6864564526230676      0.07782440554304933    -5.815405283955469    0.08311256784595122    -0.3536249     0.6889534          -0.18451343     0.15258925      -0.49517095         0.0652752       -0.06804925      0.05263053           0.17069371            0.20995545        131            15.064932         15.064932   1.3317547      1.0    
  40.033941543246286   42.742429055897894   340163578803702912   143.3304325068943    -15.782948800450358   2.066705939546663    0.1284043060092978     0.6328737988902251      0.1642104184963444     -6.019577713858369    0.1912570034908619     -0.4158565     0.6906163          -0.38942486     0.19398658      -0.3746373          0.3494035       -0.203858        -0.14131816          -0.084997825          0.071821086       123            16.698685         16.698685   2.0305052      1.0    
  39.24817802733857    42.956792561515094   340135777480090112   142.69334875647115   -15.828188104398526   1.788220914497586    0.16140583335707062    0.37296400298075283     0.18415480260458114    -6.016318811388559    0.18785486500726814    -0.38460377    0.6350921          -0.061968815    0.13687547      -0.5413796          -0.11541999     -6.6792054E-5    0.2032682            0.32789487            0.18733668        125            17.06034          17.06034    2.0784454      0.8    
  40.16192919332848    43.418170526211746   340218824966325120   143.12202674950694   -15.131015027877499   1.866303897369726    0.044607376014048176   0.3627310559179793      0.06413763918721715    -4.578770807078792    0.05471779913852333    -0.41585147    0.6072382          0.19470045      0.036070775     -0.42556986         -0.33976772     -0.03994499      0.21631595           0.4065983             -0.02805833       142            13.826454         13.826454   1.1764755      0.5    
  40.26618692732902    43.0547852615278     340175325537795712   143.35303547243288   -15.42793101495081    1.9542666565939966   0.238489119980045      0.2585094735888178      0.49122358252778486    -5.639577410426882    0.3309285876848358     -0.60105896    0.4620675          -0.47568643     0.21360575      -0.55911213         0.41342568      0.011680852      -0.12039964          -0.079502806          -0.071221456      131            17.94262          17.94262    2.6937923      0.5    
  38.88359007324284    42.630761695594586   340112898190374144   142.57804230782892   -16.235114815811347   2.2096105180213947   0.2197389591400781     0.716537890758677       0.3593173173898677     -6.460207233478931    0.2486522117932656     -0.28174534    0.5784936          0.21388462      0.030592032     -0.56623983         -0.2020365      -0.04563758      0.17951572           0.20619024            0.20800689        108            17.543793         17.543793   2.284443       0.5    
